Column1,Reviews,P or N
29,생각보다 밥 너무 잘먹구 소분포장되어있어서 너무 좋았어요!,98.88% 확률로 긍정 리뷰입니다.
30,내추럴코어 간식을 넘 잘먹어서 사료도 샘플로 다 사봤네요.,98.70% 확률로 긍정 리뷰입니다.
31,오리젠이랑 섞여 먹이고있는 사료에요 ㅎㅎ오독오독 잘먹어요,95.50% 확률로 긍정 리뷰입니다.
32,타사 대비 저렴하게 늘 구매하고 있어요감사드려요. ^^,98.84% 확률로 긍정 리뷰입니다.
33,진돗개헤라가 잘 먹고 튼튼해요~^^*피부가 깨끗해요.,98.33% 확률로 긍정 리뷰입니다.
34,고기맛(?)이 안나서 그런지 생각보다 잘 안먹네요ㅜㅜ,99.23% 확률로 부정 리뷰입니다.
35,한 두 봉지는 잘 먹었었는데 이제 잘 안먹어요 ㅠㅠ,62.59% 확률로 부정 리뷰입니다.
36,아직도 잘 맥이는중입니다 히히 네추럴코어 베지테리언!,96.91% 확률로 긍정 리뷰입니다.
37,유통기간넉넉애기 피부가 좀 좋아져 이것만 먹여요.,95.16% 확률로 긍정 리뷰입니다.
38,새벽 빠르고 좋습니다 쿠폰도 있어서 다더욱 좋습니다,98.34% 확률로 긍정 리뷰입니다.
39,사료바꿔주려고 샘플사봤어요 잘먹어주면좋겠네용ㅎㅎ,99.20% 확률로 긍정 리뷰입니다.
40,엄청난 대용량 ㅋㅋㄱㅋ 살찐것같아서 시켜봤어요 ㅎ,98.46% 확률로 긍정 리뷰입니다.
41,애기때먹여봤던사료인데 채식사료고민하다 샘플시켰어요,98.69% 확률로 긍정 리뷰입니다.
42,지금 먹고있는 사료가 안맞는거 같아서 구매했어요,92.78% 확률로 긍정 리뷰입니다.
43,아이가 잘먹어요.응가냄새도덜나고재주문할께요,99.22% 확률로 긍정 리뷰입니다.
44,야채먹는애인데 ㅎㅎ왜인지 채식사료만 안먹네요,58.89% 확률로 부정 리뷰입니다.
45,펫프가 제일 저렴하고 배송 빨라서 좋아요!,98.18% 확률로 긍정 리뷰입니다.
46,이아이 무지 잘먹어서요~아주 잘 먹어다,97.24% 확률로 긍정 리뷰입니다.
47,가끔 먹여도 괜찮겟어요 멋잇게 먹더라고요,96.57% 확률로 긍정 리뷰입니다.
48,개별포장이라 너무 좋고 애기들이 잘먹어요,98.94% 확률로 긍정 리뷰입니다.
49,잘먹는데 먹고나면 주둥이에서 한약냄새가남,80.42% 확률로 부정 리뷰입니다.
50,반만 줘 봤눈데 강쥐가 잘먹어용 ㅎ ㅎ,99.01% 확률로 긍정 리뷰입니다.
51,아요 습니다 굿 맘에 들어요 화이링,90.53% 확률로 긍정 리뷰입니다.
52,배송이 매우 습니다 이점이 상당합니다,76.45% 확률로 긍정 리뷰입니다.
53,사료테스트를 위해 구매했는데 안먹어요ㅠ,90.65% 확률로 부정 리뷰입니다.
54,우리 강아지가 이 사료만 골라먹어요><,91.27% 확률로 긍정 리뷰입니다.
55,이런 샘플사료 너무나 큰 도움이돼요~,98.05% 확률로 긍정 리뷰입니다.
56,냄새는 괜찮아요. - 맛있는냄새에여,81.58% 확률로 긍정 리뷰입니다.
57,정말 맘에 드는 사료입니다.. 이걸 먹이면 응가 냄새가 정말 하나도 안나요. 다를 야채 비건 사료 먹여봐도 이게 최고로 배변이 깔끔해요..다이어트 효과는 모르겠어요..ㅜㅜ,96.48% 확률로 긍정 리뷰입니다.
58,최근 2년간 이 사료를 많이 샀습니다. 특별히 알러지반응도 없고 다이어트도 필요해서 샀는데 잘 먹었어요 !!그런데 요즘 다른 사료랑 섞어줬는데 이걸 잘 안먹어요 ㅠ 다른것들도 먹여보고 다시 재구매할거에요~!가격이나 여러면에서 제일 좋았거든요!,97.42% 확률로 긍정 리뷰입니다.
59,대부분 사료들이 다 고기 위주라 야채로 이루어진 것들도 먹여보고 싶어서 산건데 저희 강아지랑은 안 맞았는지 며칠째 계속 토하더라구요ㅠㅠ,98.96% 확률로 부정 리뷰입니다.
60,몇년째 먹이고 있는데 살도 이걸로 뺐어요! 처음에는 잠깐 맛없어하더니 이제는 너무 잘먹어??ㄷ,98.24% 확률로 긍정 리뷰입니다.
61,다이어트하려고 샀어요! 다른 사료는 기름기가 많은데 이 사료는 기름기가 없어 좋아요!,99.31% 확률로 긍정 리뷰입니다.
62,우리 댕댕이 고기 알러지 있는데 야채사료 먹은후로는 알러지 없고 응가도 잘해요,98.22% 확률로 긍정 리뷰입니다.
63,개별포장이라 맛과 향 변질이 없고 좋아요 대형견이라 많이 먹어요 응가도 잘싸요,99.36% 확률로 긍정 리뷰입니다.
64,울 애들은 고기 사료보다 이 사료를 더 좋아하네요~,98.43% 확률로 긍정 리뷰입니다.
65,다들 맥여보세요 정말 갠찮은 사료,92.91% 확률로 긍정 리뷰입니다.
66,잘먹어서 다시구매 했어요,97.42% 확률로 긍정 리뷰입니다.
67,절대로 주식으로 급여하려 구매하지 않았고 다이어트 중이라 저녁에는 여유가 있지만 오전에 여유가 없어서 반반 섞어주려고 구매했어요. 이 자식이 이상하게도 사료가 단일종류면 밥을 잘 안 먹기도^^ 해서 샀는데 주사료도 네추럴코어라서 같은 브랜드면 조금 더 낫지 않을까싶어서 샀어요. 잘 안 먹긴하는데 그래도 배고프면 깨작깨작 거리면서 먹긴 먹어요. 저녁에 화식을 만들어줘서 편식이 더 심한걸까요?? 그래도 먹긴 먹으니ㅎㅎ 반은 성공입니다 :),82.62% 확률로 긍정 리뷰입니다.
68,잘먹어요!알러지가 있는 아이라 늘 걱정인데 이 사료 먹이고 나서부터는 알러지 증상이 거의 없구요 기호성도 좋아 다른 아이들도 잘 먹습니다!다만 다이어트를 목적으로 급여하시는 분들이라면 효과는 없어서 다른 사료을 찾으시는게 좋을것같아요 저희 애는 다이어트도 해야하고 알러지도 있는데 알러지만 좀 잡혔지 다이어트는 그닥...좀 유지만 되는정도에요 왜인지 모르겠지만...식탐이 있는 아이라 그런지..,64.02% 확률로 긍정 리뷰입니다.
69,한 녀석은 육류 다른 녀석은 생선 알러지가 있어서 타사 야채사료 먹다가 갈아탔는데 둘다 난리가 났어요. 귀긁고 한녀석은 급성 알러지 증상으로 피부에 붉은 반점 생기고...먹이던거 계속 구매할걸... 세봉 먹이고 남은거 어찌해야 하나요? 야채사료인데 어떤 성분때문억 그랬는지 궁금하고 속상하네요. 다른 댕댕이들은 잘먹는다는데 왜 우리 집 개들에게는 안맞는 걸까요?,97.89% 확률로 부정 리뷰입니다.
70,"배변 냄새는 줄었는데 귀를 자주 긁고 생식기도 자주 C타요! 의사는 생리시기 라고 해서 그럴수고잇고, 귀는 외이도 가 살짝 빨갛지만 약먹을 정도는 아니래요!잘 안먹는대 요즘 사료 거부해서, 인간음식 너무 자주 먹어서 그럴수도잇는데 손에 주어주면 다 먹긴해요용량이 많아서 다 먹을라면 쫌 걸릴것 같은데 가성비는 좋은것같아요! :)",79.05% 확률로 부정 리뷰입니다.
71,닭알러지가 생긴뒤로 이것저것 사료 바꿔보다 안착한 이 베지터블 사료~~~다행히 너무 잘먹는다.그래도 가끔은 소나 양고기 간식으로아니면 다른 사료와 섞어서 고기도 먹이고 있어요~~10살이라 잘먹고 아프지만 않으면 행복♡건강하게 오래오래 같이 살자~^^,98.62% 확률로 긍정 리뷰입니다.
72,아이들이 엄청 잘 먹어여!알이 좀 클 줄 알았는데 생각보다 작아요. 그래도 잘 씹어먹어서 재구매의사 있습니다!그리고 알러지반응이나 그런게 없어서 더 좋은 것 같아요 :) 배변도 설사한번 안하고 딱딱하지도 않게해서 또 먹여듀 걱정안될것같아요!,99.12% 확률로 긍정 리뷰입니다.
73,두번째 먹이는데 잘 먹어요!따로 채소를 주는 좋은 주인이 아니라... 이렇게나마 건강을 챙겨주고싶어서 줬는데 진짜 잘먹어요!알도 크지않아 모든 강아지들 다 먹일 수 있어요. 베지테리언이라고 다이어트 되진않더라구요......여전히 튼튼합니다!,99.68% 확률로 긍정 리뷰입니다.
74,계속 먹어 온 사료입니다베지테리언이라 되어있어서 혹시라도 기호성이 안좋을까 걱정했는데 세마리다 질리지않고 잘 먹어 줬어요! 요즘 쪼꼬미 포메가 먹는 속도가 느려져서 좀 바꿔볼까 하는 중이지만 그래도 이걸 더 많이 주긴해요! 꾸준히 잘 먹어요 :),98.06% 확률로 긍정 리뷰입니다.
75,두개 구매했어요원래 수입 비건사료 먹이다가연어사료 먹였더니떵내가 쉰내가 나고 귀 염증이 심해져서다시 비건으로 돌아옵니다이거 먹여보고 좋으면 계속 이 라인 하겠지만이것도 아니면 비싸도 수입 비건으로 다시 돌아가려해요ㅠ제발 잘 맞길,77.49% 확률로 긍정 리뷰입니다.
76,알러지는 확실히 안생기는 것 같은데 포만감이 안드는지 더 먹으려고 하고 식탐이 더 강해진 것 같아요. 냄새는 사료 냄새에 살짝 카레냄새 같은 것도나요. ㅎ 기호성은 좋은 것 같아요. (워낙 잘 먹는애라 사실 잘 모르겠어요 ㅎ),98.78% 확률로 긍정 리뷰입니다.
77,6kg이라 그런지 양이 푸짐해서 좋아요. 주면 잘 먹어요! 진공 포장되어있더라도 자리를 꽤 차지해요 냉장고 서랍(깊이랑 넓이가 꽤 되는 중간 서랍입니다) 한 칸을 꽉 채울 만큼 오니까 냉장 보관 하실 분들은 참고 하셨으면ㅠㅜ,90.13% 확률로 긍정 리뷰입니다.
78,겨울이라 털쪘다고 생각했는데...병원에서 비만이라고 들어서 충격을 먹고 사료를 찾다찾다 야채만으로 만든사료들은 하나씩 다 먹여보려고 샀어요.일단은 2일째먹이는데 역시나 먹을꺼면 약도잘먹는 아이답게 오독오독 잘도 먹네요♡,98.80% 확률로 긍정 리뷰입니다.
79,올해 가장 많이 먹은 사료에요!이것만 먹였더니 약간 똥을 잘 못싸는 것 같아서 웰츠랑 조금 섞어주고있어요.그래도 똥 상태도 괜찮고 체중 조절을 해야하는 상태인데 슬림다운은 잘 안맞아서 이걸로 주고있어요~,85.98% 확률로 긍정 리뷰입니다.
80,항상 먹이던 사료인데 여기서 구매하는게 훨씬 저렴했고요 이 사료는 소분씩 나눠서 포장되있는거라서 눅눅해지는거나 사료냄새 걱정 없이 먹일 수 있어서 정말 좋아요! 물론 강아지들도 너무 잘 먹습니다!,99.61% 확률로 긍정 리뷰입니다.
81,사료를 바꿔주려고 설명 잘 읽어보고 구매했는데 기호성은 좋은거 같지만 애기 입맛에 맞지 않은가봐요ㅠㅠ 평생 사료 안가리고 잘 먹는 모습만 봤는데 이건 먹지 않아서 이걸로 바꾸진 못하겠네요??,97.84% 확률로 부정 리뷰입니다.
82,어릴때부터 먹이던 사료에요. 계속 먹으니 질렸는지 기호성이 좀 떨어지긴 했지만.. 이걸 먹이면 체취도 사라지고 변냄새도 사라지고 입냄새도 없고 변도 단단하고 몸 긁는것도 덜하고 너무 좋아요.,99.58% 확률로 긍정 리뷰입니다.
83,개별포장이 되어 있어서 너무 좋았어요!개별 포장이라 위생적으로 너무 좋은 것 같아요다만 저희집 아이들이 중대형견이라 그런지입자가 작아서 간혹 씹지않고 삼켜서 아쉬웠어요!!,94.07% 확률로 긍정 리뷰입니다.
84,요즘 사료를 잘 안 먹어서 기호성 확인할 겸 구매했는데 다행히 잘 먹네요. 요즘 사료 투정도 있고 먹다가 남기기도 하고 그래서 이래저래 걱정이 많아서 시켰는데 잘 먹어서 다행이애오,98.52% 확률로 긍정 리뷰입니다.
85,이거맥이고 변이좋아윱!!이거눈 기름기가 없어서 먹일때 마음이놓이네요 ㅠㅠ이거를 베이스사료로 주고 오메가3랑 다른 습식사료 조금섞어주는데 바작바작거리면서 너무잘먹어요!!!,99.55% 확률로 긍정 리뷰입니다.
86,항상 먹이는 사료에요. 예전에는 고기 들어있는 사료를 먹였는데 이걸로 바꾸고 나서는 쭉 이것만 먹여요. 일단 우리집 첫째는 눈물자욱이 많이 나아졌거든요 ㅎㅎㅎ,98.39% 확률로 긍정 리뷰입니다.
87,말티즈 두마리키우는데 간식을 많이 안주는데 살이 안빠져 걱정했었는데 사료를바꾸고나서부터는 애들이 잘먹고 살도 빠진것같아 좋아요 가격도 저렴하고 만족합니다,99.25% 확률로 긍정 리뷰입니다.
88,처음에는 잘 먹다가 또 잘 안 먹다가..베지테리언 사료라 그런가했지만 다시 또 잘 먹네요똥도 좋고! 살 빠지는 건 잘 모르겠지만 똥은 잘 나와요!,97.29% 확률로 긍정 리뷰입니다.
89,피부가 민감한 아이가 있어 내츄럴코어 연어 센서티브 제품이랑 섞여 먹일려고 구매했어요. 5둥이가 안 먹으면 어쩌나 걱정했는데 쓸데없는 걱정이었어요.,90.66% 확률로 긍정 리뷰입니다.
90,"꾸준히 막이다가 오리사료 잘 못 먹이고 눈물 터져서 다시 네추럴 코어로 돌아 왔습니다..,좋아지고 있구요!!! 봉자도 너무 잘먹어서 좋습니더!!",99.17% 확률로 긍정 리뷰입니다.
91,4마리중 한마리아이는 눈물이터졌어요 다이어트겸 시켰는데 알러지가있는데 가지럽고하는거는없지만 귀가살쩍빨가네요 똥냄새는안나고 확실이변색이좋아요,75.49% 확률로 긍정 리뷰입니다.
92,연어사료 먹이다 이번에 바꿔봤는데 아직 입에 안맞는지 잘 안먹네요~ 며칠 적응하면 잘먹을것 같아요~건강한 사료 향이 아직 어색한듯요~~^^,76.55% 확률로 긍정 리뷰입니다.
93,새벽 배송으로 왔어요 5시전에 도착해요 당장 내일 먹을게 필요 할 때 애용하면 될 것 같아요 쿠폰 덕에 최저가로 좋은 사료 구매했어요 좋습니다,98.62% 확률로 긍정 리뷰입니다.
94,세마리 모두 잘 먹고 꼭꼭 씹어서 먹어요매번 사료를 다르게 시켜서 먹는데 ANF도 잘 먹긴했는데 질리는지 이 제품먹을때랑은 좀 달라요 ㅎㅎ,95.96% 확률로 긍정 리뷰입니다.
95,강아지가 잘 안 먹어서 같이 산 면역가루를 뿌려줘야 해요ㅜㅜ 저희 강아지 입맛엔 비건이라 맛 없나봐요. 하지만 살을 빼야 하니 또 사려구요ㅋ,93.09% 확률로 부정 리뷰입니다.
96,먹던 사료에 섞어줬는데 첨엔 안먹다가 요즘엔 잘 먹어요야채라 그런지 방구도 잘 안뀌고 응아도 건강해서 좋네요이번엔 통으로 구입했어요,99.23% 확률로 긍정 리뷰입니다.
97,한아이가 알러지가 있어서 이건 괜찮을까 싶어서 먹이고 있네요 아직 효과는 모르겠어요 ㅠ ㅠ 먹고 긁지않았으면 좋겠네요 일단 먹여봅니다,88.28% 확률로 부정 리뷰입니다.
98,몸에는 더 좋을텐데 ㅠㅠ 입맛 까탈스러운 우리 뚱땡몽은 아예 안먹네요 ㅠㅠ 에효.... 억지로 먹이는 건 아닌것 같아 포기합니다 ㅠㅠ,97.58% 확률로 부정 리뷰입니다.
99,완전 잘목고 사료가 맘에들어요 기름기도ㄱㅓ의안느껴지고 냄새마저꼬솝고 크기도 넘작않고 때깔이 노릇해서 만족해요 바로달려오는사중 하나!,97.39% 확률로 긍정 리뷰입니다.
100,늘 오리만 먹이다가 요기와서 이런게 있는줄알았어요.썩어먹이니 잘 먹네요.보기만해도 건강해지는 사료.믿고 먹일께요.뉴트리코어♡,94.61% 확률로 긍정 리뷰입니다.
101,새벽에 배송해 주신 분께 진심으로 감사드립니다 ~ 펫프렌즈에서 좋은 사료를 구매했습니다 ~ 펫프렌즈가 크게 번창하길 바랍니다 ^^,99.15% 확률로 긍정 리뷰입니다.
102,아이가 설사를 자주해서 처방사료 먹다가 식이섬유 많고 야채가 많다길래 한번 먹여봐요 이틀째인데 아직 설사는 없지만 더 지켜보려구요,88.40% 확률로 긍정 리뷰입니다.
103,나이가 이제는 노령견에 접어들어 선택하여 봤는데기호성이 좋지 않았어요 ㅠㅠ 그래도 덕분에 살은 빠진 장점이 있었네요 ㅎㅎ,78.25% 확률로 긍정 리뷰입니다.
104,평소 잘 먹는 네코 사료입니당 ㅎㅎ연어 알러지가 있어 연어 들어있는것만 빼고 매번 떨어질때마다 맛별로 사서 먹어요 ㅎㅎ,99.52% 확률로 긍정 리뷰입니다.
105,"피부알러지가 심한데, 밀웜(?) insect 사료가 비싸서 차선책으로 선택해봤는데 3번째 먹어요. 확실히 덜 긁어요",97.86% 확률로 긍정 리뷰입니다.
106,3번째 구매입니다유기견 3마리 키우고 있는데 눈물이 심해유기농 사료 접하게 됐습니다눈물이 쏙 들아갔습니다 ^^,83.36% 확률로 긍정 리뷰입니다.
107,진짜 잘먹네요 야채로만 되어있는 사료라서 안먹을수도 있다고 생각했었는데 잘먹어서 6kg 재입고 되면 살 것 같아요,99.20% 확률로 긍정 리뷰입니다.
108,만족 합니다~ 배송 대박 좋아요~ 고양이강아지들 전용 쿠팡같아서 너무 만족스럽고 자주 이용할거 같습니다~~!!,98.76% 확률로 긍정 리뷰입니다.
109,내추럴코어 다른 제품들에 비해 기호성이 조금 떨어지는거같아요 ㅠㅠ 한번 테스트하고 구매해보시길 추천드려요~!,59.80% 확률로 긍정 리뷰입니다.
110,가격대비 너무 좋아서 두번맥여봤는데 일시품절이네요ㅠㅠㅠ 너무슬픕니다 .애기피부도좋아지고요 ㅎㅎ재입고얼른해주세요,98.43% 확률로 긍정 리뷰입니다.
111,샘플 구매로 먹였는데 아가가 너무 좋아해서 본품 샀어요! 베지테리언이라 그런지 눈물자국도 개선되는 것 같아요,90.73% 확률로 긍정 리뷰입니다.
112,베지테리언 사료래서 안먹으면 어쩌나 걱정했는데오독오독 잘 먹어요 사료 바꾸고 똥도 말랑해진거같아서 좋아요!,98.28% 확률로 긍정 리뷰입니다.
113,잘먹고 소화도 잘되고 요것 먹을때는살도 덜찌는것같아 체중조절도 되는것같아요털도 윤기나고 영양도 좋은듯요~,99.00% 확률로 긍정 리뷰입니다.
114,잘받았어요!배송이 주말이 껴서 그런지 좀 걸리기는했지만 그래도 좋은 가격으로 우리 강아지 밥 샀어요!!,97.63% 확률로 긍정 리뷰입니다.
115,단백질 알레르기가 있어서 채식 사료만 먹이는대 다른거보다 가격적인 부담이없고 개별포장으로 깔끔해요,98.93% 확률로 긍정 리뷰입니다.
116,6키로가 이렇게 큰줄 몰랐어요 ㅜㅜ소포장되서 좋긴하네요. 좀먹이다가 다른거랑 번갈아서 줘야겠어요.,88.75% 확률로 부정 리뷰입니다.
117,우리멍 피부가 좋지않아 현재 사료 먹이고 있는데 너무 만족합니다. 잘먹고 피부도 좋고 … 감사합니다,98.40% 확률로 긍정 리뷰입니다.
118,아주 잘 먹어요응아 냄새도 안나고 체중도 줄었어요두번째구매인데앞으로 이것만 먹이게 될것같아요,98.71% 확률로 긍정 리뷰입니다.
119,알러지있는 아이라서 급여하고 있는데 잘먹고 알러지도 많이 좋아져서 좋습니다..다른데보다 저렴하고요~,99.39% 확률로 긍정 리뷰입니다.
120,늘 먹이는거지만 이거 먹이고 나서 토하는게 없어졌어요!기름진 사료 많이 먹이면 토했거든요ㅠㅠㅠㅠ,90.40% 확률로 긍정 리뷰입니다.
121,재구매입니다용량이 지난번것 좀 크네요작은사이즈인것이 보관이 더좋아요그리도 잘먹고 있어요,98.33% 확률로 긍정 리뷰입니다.
122,베지인걸 알긴아는지 원래처럼 밥을 막 반기면서 먹지는않네요 ㅋㅋ ㅠㅠ 살빠지는것도 잘모르겠어요 ㅠ,99.02% 확률로 부정 리뷰입니다.
123,아이가 좋아하네요미리 떨어지기전에 주문합니다항상 네츄럴코어 소포장에 아이가 잘먹어서 만족합니다,99.43% 확률로 긍정 리뷰입니다.
124,변냄새도 안나고 잘먹어서 계속먹일생각입니다 ㅎㅎ고기나 생산이 아니여서 걱정했는데 너무 잘먹어요,99.19% 확률로 긍정 리뷰입니다.
125,애들이 환장해요... 세상에 놀랬어요 근데 똥냄새가 더 놀라워요... 똥냄새 장난아니에요 ㅠ,73.46% 확률로 부정 리뷰입니다.
126,다이어트 시키려고 먹이고있는데 한달정도 되니까 살짝 효과가 보여요 ㅎㅎㅎㅎ 잘먹고 딱똥싸요 굿,99.50% 확률로 긍정 리뷰입니다.
