Column1,Reviews,P or N
17,퍼피전용사료라 그런지 입자가 작아서 급하게 먹고 목에 걸려 켁켁 거리는 일이 줄었어요. 그리고 기호성도 나쁘지 않은 거 같아요. 엄청 좋아한다는 느낌은 아니지만 그래도 남김없이 잘 먹어요,93.19% 확률로 긍정 리뷰입니다.
18,로얄xx 퍼피 사료 먹이는데 너무 안 먹어서 샘플 이것저것 시켜봤는데 나름 잘 먹네요샘플 두개씩 사서 이틀은 먹야봐야 알 거 같아요 ㅜㅜ하나씩만 살 수 있어서 아쉽네요,94.40% 확률로 긍정 리뷰입니다.
19,알갱이가 작아서 씹는 소리가 안나서 잘 씹고 넘기는지 그냥 넘기는지 모르겠어요ㅋㅋㅋㅋ 그래도 기호는 좋아서 와구와구 잘 먹어요~~ 변도 좋고 더 달라고 그릇도 핥아요,89.70% 확률로 긍정 리뷰입니다.
20,애가 작아서 알맹이 큰건 못먹는데 이건 처음먹던 로얄캐닌스타터랑 크기가 같아서 잘먹네요~이건 눈물이 많이 나는거같아서 같은라인 연어로 줘보려루요!,93.83% 확률로 긍정 리뷰입니다.
21,이거 무료배송 가격 맞추기도 너무 좋고 본집 갈때도 사료 지저분하게 남을 일 없이 들고 다닐 수 있어서 좋아요!! 기호성도 좋슴당,99.29% 확률로 긍정 리뷰입니다.
22,눈물잡으려고 기호성알아보려고 소량 구매했는데저희 애기는 엄청 잘먹어요 ㅎㅎ치킨말고 다른맛 구매해서 먹여봐야겠어요,97.89% 확률로 긍정 리뷰입니다.
23,잘먹어요! 알갱이가 작아서 먹기 쉬운것 같네요 피쉬포독 안먹어서 마음고생하다가 샘플 먹여보고 본제품 구매했습니다!,94.30% 확률로 긍정 리뷰입니다.
24,사료 찾기 중인데 그나마 이 제품은 잘 먹어요. 계속해서 먹여 보고 대용량으로 살 생각을 하고 있습니다.,91.05% 확률로 긍정 리뷰입니다.
25,편식 심햇던 울강생이 택배받자마자 바로 먹였는데 넘 잘먹네요~담엔 시식용 말고 본품을 겟할까봐요~,94.39% 확률로 긍정 리뷰입니다.
26,잘 먹는 사료를 찾고 싶어서 샘플을 주문한건데 안먹어요.한 달 후... 이제는 다 잘먹어요.,97.46% 확률로 긍정 리뷰입니다.
27,너무 잘먹고 눈물도 덜나는거같아서 몇개 더 시켜봤어요 단독 급여했을때도 좋으면 갈아타려구요!!!,96.12% 확률로 긍정 리뷰입니다.
28,먹던 사료가 품절이라 급하게 샘플이라도 몇개 구매해봤어요 잘먹으면 바꿔줄까 고민중이에요,97.13% 확률로 긍정 리뷰입니다.
29,아이에게 아직 간식을 따로 주지않아서 보상으로 줄 간식대용으로 샀는데 엄청 좋아하네요^^,98.74% 확률로 긍정 리뷰입니다.
30,샘플은.잘 먹는다는 공식인건지얘는 첨에 냄새 맡아보더니 바로 잘 먹어주더라구요 ㅎㅎ,98.12% 확률로 긍정 리뷰입니다.
31,아무것도 모르고 샘플 구입했는데 뭐 아기가 안먹기도 하고 샘플로 구매해서 다행이네요,89.15% 확률로 긍정 리뷰입니다.
32,알맹이가 아주 작아요 ㅎㅎ 저희멍님은 7개월이라그런가 ㅋ 그냥 삼켜버려요 ㅋㅋㅋ,96.61% 확률로 부정 리뷰입니다.
33,퍼피를 퍼플로 보고 구매했는데 너무 잘먹어요ㅋㅋ아가용이라 이제 주진 않아요ㅋㅋㅋ,97.70% 확률로 긍정 리뷰입니다.
34,샘플이 있어서 다행이에요!평소에 먹는 사료들보다 안좋아하네요ㅠ먹긴 먹습니당,97.59% 확률로 긍정 리뷰입니다.
35,냄새만 맡고는 전혀 안먹어요 ㅠㅠ 섞어줘도 전에 사료만 골라서 먹네요...,85.26% 확률로 부정 리뷰입니다.
36,한알만 먼저 줘봤는데 잘 먹어요!맛있게 먹더라구요 저도 먹고싶게..??,98.75% 확률로 긍정 리뷰입니다.
37,샘플양이 생각보다 많아서 넘 좋숩니닷 ? 다양한 사료 맛보려고 샀어요!,99.37% 확률로 긍정 리뷰입니다.
38,아휴 환장하고 먹네요ㅋ 울집고양이들도 환장하고 달려들어요ㅋㅋ 어쩌죠ㅋㅋㅋ,54.82% 확률로 부정 리뷰입니다.
39,펫프는 배송이 빨라서 너무 좋아요 워낙 입짧은 아이라 잘 먹진 않네요ㅜㅜ,84.25% 확률로 긍정 리뷰입니다.
40,샘플로 먹여보는거 너무 좋아요. 오도독 씹어 맛나게 먹더니 또 안먹네요,82.97% 확률로 긍정 리뷰입니다.
41,엇..퍼피가 아닌데 잘못 사버렸....ㅠㅠ사료에 좀 섞어줘야겠어요 ㅎㅎ,76.59% 확률로 부정 리뷰입니다.
42,사료를 잘 안먹어서 이것저것 구매했는데 이건 아직 잘 안먹네요 ㅜㅜ,90.02% 확률로 부정 리뷰입니다.
43,기호성은 정말 좋아요. 근데 ㅂㄷㅁㅌ 사료라는걸 나중에 알았네요.,97.26% 확률로 긍정 리뷰입니다.
44,잘먹어요 ㅎ 새로운거라 그런거같아요 기존사료랑 섞어주면 좋은거같아요,97.17% 확률로 긍정 리뷰입니다.
45,입 짧아서 걱정인데 너무 잘 먹어요 순삭해서 너무 기분이 좋아요,99.33% 확률로 긍정 리뷰입니다.
46,"잘 먹구 응아도 잘 하는데 눈물이 멈추질 않아서 테스트로만,,ㅠㅠ",63.75% 확률로 부정 리뷰입니다.
47,메인사료에 섞어서 먹였는데 알갱이가 작아서 씹지않고 그냥 삼켜요,94.18% 확률로 부정 리뷰입니다.
48,훈련용으로 샀어요!아직 어린 아가라 훈련용 사료로 좋을것 같아요,98.03% 확률로 긍정 리뷰입니다.
49,믿고 먹는 네츄럴코어죠 ㅎㅎ 담엔 네츄럴코어 사료 사려구요!,98.47% 확률로 긍정 리뷰입니다.
50,이것저것 샘플 시켜서 먹여봤는데 조금 먹더니 안먹네요 ㅠㅠ,57.01% 확률로 긍정 리뷰입니다.
51,퍼피는 안먹은 다는 걸 이 체험을 통해 알게됐어여 ㅎㅎ,64.07% 확률로 긍정 리뷰입니다.
52,잘 머거용 !!!! 애기가 워낙 잘 먹어서 다 조아해용,97.22% 확률로 긍정 리뷰입니다.
53,아직 먹여보진 않았지만 먹여보고 후기 다시 남길게요!,97.21% 확률로 긍정 리뷰입니다.
54,ㅜㅜ 로얄캐닌만 먹어서그런지 안먹어서 팔아버렷내요ㅜㅜ,96.21% 확률로 부정 리뷰입니다.
55,샘플이라 섞여먹어봣는데 아직 좋아하는지는 모르겟어요,51.69% 확률로 부정 리뷰입니다.
56,휴대용으로 몇개 구입했어요 어디놀러갈때 좋을거같아요,98.89% 확률로 긍정 리뷰입니다.
57,우리아이가사료을잘안먹어서이건잘먹어요다음에재구할것에요,98.91% 확률로 긍정 리뷰입니다.
58,아직 급여전이라 모르겠네요..좋아했으면 좋겄네요,53.62% 확률로 긍정 리뷰입니다.
59,아이 이유식으로 먹일려고 주문 했는데 다른게 왔어요,78.41% 확률로 부정 리뷰입니다.
60,성분은 괜찮은거 같은데 기호성이 조콤 떨어져용 ㅠㅠ,63.34% 확률로 긍정 리뷰입니다.
61,여행가거나 본집 갈 때 하나씩 들고갑니당 잘먹어요,99.23% 확률로 긍정 리뷰입니다.
62,좋은거랕아요눈물도 많이안흘리도 포메인데 좋아요~,96.53% 확률로 긍정 리뷰입니다.
63,로얄만먹어서 같이 먹이려고삿늗데 역시나 실패ㅜㅜ,50.35% 확률로 긍정 리뷰입니다.
64,좋아요~~~~~~~잘먹어요????????????,89.28% 확률로 긍정 리뷰입니다.
65,애기가 엄청잘먹어여!! 사료정착했으면 좋겠어요,97.84% 확률로 긍정 리뷰입니다.
66,알러지걱정으로 사봣는데 ㅜ잘먹는게생겨서 떠납니다,79.36% 확률로 긍정 리뷰입니다.
67,롱이는 입이 짧아서 별로 안 좋아하는것 같아요ㅜ,92.94% 확률로 부정 리뷰입니다.
68,아이가 안먹어요아것저것 먹여 보는 중이예뇨,83.23% 확률로 부정 리뷰입니다.
69,아직안먹여봤지만 사료테스팅 기대하고있어요~,94.73% 확률로 긍정 리뷰입니다.
70,너무 이것저것 산거 같긴 하지만 잘먹어요!,96.27% 확률로 긍정 리뷰입니다.
71,좋아요 그냥저냥 소포장되어있어서 신선하구,94.54% 확률로 긍정 리뷰입니다.
72,좀 기름진거같아요ㅎ ㅎ 그래도 먹긴먹어요!,71.70% 확률로 긍정 리뷰입니다.
73,사료 바꾸려고 샘플 사봤는데 잘 먹어요!,98.76% 확률로 긍정 리뷰입니다.
74,very very very good !,70.30% 확률로 부정 리뷰입니다.
75,질먹었어요 꺼다로운 애지만 좀 먹어줬오요,89.13% 확률로 긍정 리뷰입니다.
76,이걸루바꿀려고용 샘플로구매가능해서넘좋아용,99.46% 확률로 긍정 리뷰입니다.
77,사료가 조금 커서 퍼파용인지 잘모르겟어요,93.16% 확률로 부정 리뷰입니다.
78,이것도 그럭저럭이네요 ㅎㅎ다행이네요 ㅎ,83.59% 확률로 긍정 리뷰입니다.
79,또 주문할게여 만족합니다 잘먹어요!!0,98.25% 확률로 긍정 리뷰입니다.
80,잘안먹어서 이 사료는 스킵했어용..ㅠㅠ,76.96% 확률로 부정 리뷰입니다.
81,기본 사료와 섞어주면 잘먹어요^^^^^,98.38% 확률로 긍정 리뷰입니다.
82,토핑으로 주니 잘먹네요ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,99.01% 확률로 긍정 리뷰입니다.
83,포메 눈물 잡으려고 샘플 먼저 시켰어요,75.31% 확률로 긍정 리뷰입니다.
84,강아지가 잘 먹어서 5점으로 했습니다,93.96% 확률로 긍정 리뷰입니다.
85,잘먹기는 하는데 변색깔이 좀 변해서,72.40% 확률로 부정 리뷰입니다.
86,새끼라 그런지는 몰라도 잘 먹습니다!,88.67% 확률로 긍정 리뷰입니다.
87,먹질않아요...입맛까다로운녀석...,95.25% 확률로 부정 리뷰입니다.
88,강아지가 잘 안 먹어서 넘 슬퍼요,96.46% 확률로 부정 리뷰입니다.
89,기호성 테스트하려고 샀어요 ㅋㅋ,98.28% 확률로 긍정 리뷰입니다.
90,그냥 아주 편식없이 다 잘먹어요,95.34% 확률로 긍정 리뷰입니다.
91,샘플로 구매할 수 있어서 좋네용,98.94% 확률로 긍정 리뷰입니다.
92,너무 잘 먹어서 당황스러워요,84.21% 확률로 부정 리뷰입니다.
93,엄청 잘 먹어요 실패가 없네요,96.13% 확률로 긍정 리뷰입니다.
94,"사료 유목민 정착을 위해,,",90.34% 확률로 긍정 리뷰입니다.
95,잘먹어용 잘목어용 잘먹어용,97.41% 확률로 긍정 리뷰입니다.
96,아직 안 먹였지만 기대돼요,94.43% 확률로 긍정 리뷰입니다.
97,잘먹네요 생각보다좋아요 !,94.52% 확률로 긍정 리뷰입니다.
98,애기가 잘먹고 좋아해요,96.42% 확률로 긍정 리뷰입니다.
99,기호성 보려고 주문했어요,94.74% 확률로 긍정 리뷰입니다.
100,우리 아가 잘먹어요:),97.67% 확률로 긍정 리뷰입니다.
101,강아지가 정말 좋아해요,97.90% 확률로 긍정 리뷰입니다.
